frame_number,total_vehicles,unique_vehicles,count_car,count_motorcycle,count_bus,count_truck,avg_speed_px
96,4,8,4,0,0,0,1.53
97,4,8,4,0,0,0,0.65
98,4,8,4,0,0,0,0.65
99,4,8,4,0,0,0,0.65
100,3,8,3,0,0,0,0.67
101,3,8,3,0,0,0,0.67
102,3,8,3,0,0,0,0.67
103,5,8,5,0,0,0,0.33
104,5,8,5,0,0,0,0.33
105,5,8,5,0,0,0,0.33
106,6,9,6,0,0,0,0.54
107,6,9,6,0,0,0,0.54
108,6,9,6,0,0,0,0.54
109,4,9,4,0,0,0,0.38
110,4,9,4,0,0,0,0.38
111,4,9,4,0,0,0,0.38
112,4,9,4,0,0,0,0.65
113,4,9,4,0,0,0,0.65
114,4,9,4,0,0,0,0.65
115,5,10,5,0,0,0,0.3
116,5,10,5,0,0,0,0.3
117,5,10,5,0,0,0,0.3
118,5,10,5,0,0,0,1.05
119,5,10,5,0,0,0,1.05
120,5,10,5,0,0,0,1.05
121,5,10,5,0,0,0,1.44
122,5,10,5,0,0,0,1.44
123,5,10,5,0,0,0,1.44
124,4,10,4,0,0,0,1.43
125,4,10,4,0,0,0,1.43
126,4,10,4,0,0,0,1.43
127,5,11,5,0,0,0,1.67
128,5,11,5,0,0,0,1.67
129,5,11,5,0,0,0,1.67
130,5,11,5,0,0,0,1.04
131,5,11,5,0,0,0,1.04
132,5,11,5,0,0,0,1.04
133,6,11,6,0,0,0,1.17
134,6,11,6,0,0,0,1.17
135,6,11,6,0,0,0,1.17
136,7,11,7,0,0,0,0.92
137,7,11,7,0,0,0,0.92
138,7,11,7,0,0,0,0.92
139,6,11,6,0,0,0,0.71
140,6,11,6,0,0,0,0.71
141,6,11,6,0,0,0,0.71
142,5,11,5,0,0,0,1.0
143,5,11,5,0,0,0,1.0
144,5,11,5,0,0,0,1.0
145,5,11,5,0,0,0,1.01
146,5,11,5,0,0,0,1.01
147,5,11,5,0,0,0,1.01
148,5,11,5,0,0,0,0.98
149,5,11,5,0,0,0,0.98
150,5,11,5,0,0,0,0.98
151,5,11,5,0,0,0,1.01
152,5,11,5,0,0,0,1.01
153,5,11,5,0,0,0,1.01
154,4,11,4,0,0,0,0.75
155,4,11,4,0,0,0,0.75
156,4,11,4,0,0,0,0.75
157,4,11,4,0,0,0,0.53
158,4,11,4,0,0,0,0.53
159,4,11,4,0,0,0,0.53
160,3,11,3,0,0,0,0.67
161,3,11,3,0,0,0,0.67
162,3,11,3,0,0,0,0.67
163,4,11,4,0,0,0,0.33
164,4,11,4,0,0,0,0.33
165,4,11,4,0,0,0,0.33
166,4,11,4,0,0,0,0.25
167,4,11,4,0,0,0,0.25
168,4,11,4,0,0,0,0.25
169,4,11,4,0,0,0,0.38
170,4,11,4,0,0,0,0.38
171,4,11,4,0,0,0,0.38
172,5,11,5,0,0,0,0.38
173,5,11,5,0,0,0,0.38
174,5,11,5,0,0,0,0.38
175,4,11,4,0,0,0,0.38
